# $1=time_ms	$2=step	$3=step_phase	$4=inhibit_i	$5=pitch	$6=roll	$7=tilt	$8=error	$9=ctrl	$10=ctrl_i_accu
86667	0	0	1	-1.280298	-3.046961	0.0	0.0	22.48935	22.48935
86685	0	0	1	-0.03929992	-3.953877	0.0	0.0	22.48935	22.48935
86699	0	0	1	-0.3720914	-4.879755	0.0	0.0	22.48935	22.48935
86719	0	0	1	-0.7720754	-6.427808	0.0	0.0	22.48935	22.48935
86737	0	0	1	-1.580383	-5.363397	0.0	0.0	22.48935	22.48935
86767	0	0	1	-1.932655	-3.388424	0.0	0.0	22.48935	22.48935
86787	0	0	1	-1.264563	-2.266706	0.0	0.0	22.48935	22.48935
86805	0	0	1	-0.5509369	-2.137363	0.0	0.0	22.48935	22.48935
86819	0	0	1	-0.5322584	-0.8295391	0.0	0.0	22.48935	22.48935
86837	0	0	1	0.005201076	-0.5830901	0.0	0.0	22.48935	22.48935
86857	0	0	1	-1.250996	-1.092732	0.0	0.0	22.48935	22.48935
86875	0	0	1	-1.648239	-1.712368	0.0	0.0	22.48935	22.48935
86896	0	0	1	-1.761229	-2.440457	0.0	0.0	22.48935	22.48935
86915	0	0	1	-1.267876	-2.862175	0.0	0.0	22.48935	22.48935
86930	0	0	1	-0.4205866	-3.054231	0.0	0.0	22.48935	22.48935
86948	0	0	1	-1.15941	-3.326515	0.0	0.0	22.48935	22.48935
86966	0	0	1	-1.08152	-2.037469	0.0	0.0	22.48935	22.48935
86985	0	0	1	-1.271733	-1.603237	0.0	0.0	22.48935	22.48935
86999	0	0	1	-1.239831	-2.328482	0.0	0.0	22.48935	22.48935
87036	0.01893336	1	0	-0.3003396	-1.218499	37.19469	201.9181	23.19417	23.19417
87056	0.05558893	1	0	-0.8720681	-2.281525	57.0724	181.591	23.82804	23.82804
87077	0.1069726	1	0	-1.880931	-3.481403	64.69686	154.9165	24.3688	24.3688
87097	0.1909251	1	0	-1.134172	-2.345681	49.04316	114.0188	24.76681	24.76681
87118	0.2751165	1	0	-1.927692	-1.825634	-4.174174	49.78002	24.94057	24.94057
87138	0.3637145	1	0	-0.6819057	-2.310337	65.94749	98.1672	25.28324	25.28324
87158	0.4572041	1	0	0.5227449	-2.002821	102.3178	110.15	25.66774	25.66774
87179	0.5522761	1	0	1.461338	-2.950837	178.7459	152.7573	26.20096	26.20096
87199	0.6499681	1	0	2.625945	-2.769104	218.5389	157.6468	26.75125	26.75125
87285	0.9399748	1	0	-1.902196	-3.3039	56.658	-3.466594	26.73915	26.73915
87314	0.9783887	1	0	-2.849947	-3.190955	13.63677	-38.06101	26.60629	26.60629
87339	0.999185	3	1	-1.419208	-2.556493	46.01733	-4.650761	26.60629	26.60629
87359	0.9847583	3	1	-1.030515	-1.964904	37.83028	-10.51071	26.60629	26.60629
87379	0.9507813	3	1	-1.720146	0.07419114	-72.69026	-99.09202	26.60629	26.60629
87399	0.9016834	3	1	-2.465959	1.839164	-174.3877	-164.3925	26.60629	26.60629
87420	0.8380881	3	1	-3.651269	2.533275	-250.4631	-196.8785	26.60629	26.60629
87445	0.7540987	3	1	-4.740791	1.999518	-272.8802	-179.544	26.60629	26.60629
87466	0.6680264	3	1	-4.969894	3.573984	-345.8978	-206.78	26.60629	26.60629
87487	0.5711417	3	1	-5.4855	5.392481	-440.3726	-246.6465	26.60629	26.60629
87507	0.452485	3	1	-5.689805	5.607905	-457.3372	-215.8266	26.60629	26.60629
87528	0.3591268	3	1	-4.350035	3.514443	-318.4542	-62.99609	26.60629	26.60629
87548	0.2666765	3	1	-3.322966	1.385178	-190.6788	53.03685	26.60629	26.60629
87589	0.115966	3	1	-1.510347	-1.828115	12.8425	210.052	26.60629	26.60629
87610	0.06002104	3	1	-0.3694752	-3.230327	115.8575	256.3176	26.60629	26.60629
87636	0.02161932	3	1	0.5554353	-2.880494	139.1907	228.9588	26.60629	26.60629
87650	0.002738029	3	1	0.2645963	-4.39572	0.0	0.0	26.60629	26.60629
87670	0	0	1	-0.5160056	-5.19091	0.0	0.0	26.60629	26.60629
87688	0	0	1	-0.2883198	-5.212644	0.0	0.0	26.60629	26.60629
87707	0	0	1	0.5762753	-6.595222	0.0	0.0	26.60629	26.60629
87725	0	0	1	-0.2169172	-6.086629	0.0	0.0	26.60629	26.60629
87739	0	0	1	0.4872994	-6.168562	0.0	0.0	26.60629	26.60629
87758	0	0	1	-0.09933544	-4.893425	0.0	0.0	26.60629	26.60629
87777	0	0	1	-1.006644	-3.894622	0.0	0.0	26.60629	26.60629
87795	0	0	1	-1.455923	-2.572636	0.0	0.0	26.60629	26.60629
87809	0	0	1	-1.001475	-2.005953	0.0	0.0	26.60629	26.60629
87828	0	0	1	-0.004741826	-1.044933	0.0	0.0	26.60629	26.60629
87859	0	0	1	-1.203138	-2.179971	0.0	0.0	26.60629	26.60629
87878	0	0	1	-1.760902	-2.751766	0.0	0.0	26.60629	26.60629
87900	0	0	1	-1.828634	-3.599504	0.0	0.0	26.60629	26.60629
87919	0	0	1	-1.055612	-3.903213	0.0	0.0	26.60629	26.60629
87938	0	0	1	-1.676819	-2.760226	0.0	0.0	26.60629	26.60629
87955	0	0	1	-1.383833	-1.757689	0.0	0.0	26.60629	26.60629
87975	0	0	1	-1.001719	-2.005704	0.0	0.0	26.60629	26.60629
87989	0	0	1	-0.6725903	-2.637486	0.0	0.0	26.60629	26.60629
88007	0.001111001	1	0	-0.9423636	-2.720049	0.0	0.0	26.60629	26.60629
88028	0.01523957	1	0	-1.762741	-2.12834	14.76239	85.58227	26.90503	26.90503
88048	0.04717713	1	0	-1.148252	-3.352216	89.20117	131.0142	27.36236	27.36236
88069	0.09831145	1	0	-1.512547	-2.86023	54.5213	78.87184	27.63767	27.63767
88089	0.1619055	1	0	-0.8888746	-2.823195	78.31615	84.05637	27.93108	27.93108
88126	0.2923043	1	0	-0.07733241	-1.780002	68.97551	61.17208	28.14461	28.14461
88147	0.4053587	1	0	1.324095	-2.989497	174.7518	136.6858	28.62174	28.62174
88168	0.5000043	1	0	1.833468	-3.12072	200.7	133.1534	29.08653	29.08653
88188	0.5992813	1	0	2.146059	-3.238948	218.1473	123.3014	29.51693	29.51693
88217	0.7077035	1	0	3.026443	-3.384242	259.667	134.9441	29.98798	29.98798
88237	0.8090817	1	0	1.366374	-3.05004	178.9173	44.37066	30.14286	30.14286
88257	0.8778663	1	0	-0.3780098	-3.128703	111.3979	-18.95261	30.0767	30.0767
88278	0.9353753	1	0	-1.45236	-3.449674	80.80518	-40.56426	29.93511	29.93511
88298	0.9740322	1	0	-1.136162	-3.233276	84.87968	-29.87529	29.83082	29.83082
88317	0.9949123	1	0	-2.426064	-1.737775	-27.93056	-116.821	29.42304	29.42304
88338	0.999185	3	1	-3.691652	-0.4329718	-131.992	-180.8433	29.42304	29.42304
88358	0.9847583	3	1	-4.877215	0.8985358	-233.8263	-231.4368	29.42304	29.42304
88396	0.9231813	3	1	-5.927715	3.085117	-364.7417	-296.6689	29.42304	29.42304
88417	0.861855	3	1	-5.363829	5.361911	-434.2265	-299.7813	29.42304	29.42304
88437	0.7703302	3	1	-5.09472	6.689479	-477.1507	-280.5835	29.42304	29.42304
88458	0.6813982	3	1	-4.311876	7.118966	-462.9242	-218.0747	29.42304	29.42304
88478	0.5899572	3	1	-5.397809	6.980527	-501.1698	-209.8573	29.42304	29.42304
88499	0.4952297	3	1	-5.974533	6.532896	-506.2877	-176.0069	29.42304	29.42304
88585	0.144758	3	1	-2.272591	-0.09076658	-88.38461	198.0479	29.42304	29.42304
88606	0.08196834	3	1	-1.713061	-1.494423	-8.88165	227.2394	29.42304	29.42304
88627	0.03581125	3	1	-2.136316	-2.217514	3.224724	195.9598	29.42304	29.42304
88647	0.005091578	3	1	-2.168723	-3.96642	72.61551	217.2507	29.42304	29.42304
88679	0	0	1	-2.106168	-3.566922	0.0	0.0	29.42304	29.42304
88698	0	0	1	-1.357171	-3.540899	0.0	0.0	29.42304	29.42304
88717	0	0	1	-0.1569303	-3.313764	0.0	0.0	29.42304	29.42304
88735	0	0	1	0.9796247	-3.287077	0.0	0.0	29.42304	29.42304
88750	0	0	1	1.503585	-4.11653	0.0	0.0	29.42304	29.42304
88768	0	0	1	1.503107	-4.356455	0.0	0.0	29.42304	29.42304
88795	0	0	1	-0.3530714	-5.005209	0.0	0.0	29.42304	29.42304
88809	0	0	1	-1.101867	-4.993392	0.0	0.0	29.42304	29.42304
88828	0	0	1	-2.433171	-4.977308	0.0	0.0	29.42304	29.42304
88846	0	0	1	-3.044385	-3.708775	0.0	0.0	29.42304	29.42304
88865	0	0	1	-2.357342	-2.57252	0.0	0.0	29.42304	29.42304
88879	0	0	1	-1.741752	-2.273005	0.0	0.0	29.42304	29.42304
88905	0	0	1	0.2323244	-1.904485	0.0	0.0	29.42304	29.42304
88920	0	0	1	-0.4169826	-1.689917	0.0	0.0	29.42304	29.42304
88955	0	0	1	-2.067554	-2.896381	0.0	0.0	29.42304	29.42304
88970	0	0	1	-1.535959	-3.670919	0.0	0.0	29.42304	29.42304
88988	0	0	1	-0.2760612	-3.344755	0.0	0.0	29.42304	29.42304
